,title,gross_worldwide,movie_id,year
0,Avengers: Endgame,"$2,797,800,564",4154796,2019
1,Avatar,"$2,790,439,000",0417299,2005
2,Titanic,"$2,195,169,696",0120338,1997
3,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624",2488496,2015
4,Avengers: Infinity War,"$2,048,359,754",4154756,2018
5,The Lion King,"$1,752,378,802",6105098,2019
6,Jurassic World,"$1,670,400,637",0369610,2015
7,The Avengers,"$1,518,812,988",0848228,2012
8,Furious 7,"$1,515,048,151",2820852,2015
9,Frozen II,"$1,450,026,933",4520988,2019
10,Avengers: Age of Ultron,"$1,402,808,753",2395427,2015
11,Harry Potter and the Deathly Hallows: Part 2,"$1,386,206,970",1201607,2011
12,Black Panther,"$1,348,744,095",1825683,2018
13,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889",2527336,2017
14,Jurassic World: Fallen Kingdom,"$1,308,467,944",4881806,2018
15,Frozen,"$1,280,803,353",2294629,2013
16,Beauty and the Beast,"$1,263,541,116",2771200,2017
17,The Incredibles 2,"$1,242,805,359",3606756,2018
18,The Fate of the Furious,"$1,236,005,118",4630562,2017
19,Iron Man 3,"$1,214,811,252",1300854,2013
20,Minions,"$1,159,428,508",2293640,2015
21,Captain America: Civil War,"$1,153,312,277",3498820,2016
22,Aquaman,"$1,148,485,886",1477834,2018
23,The Lord of the Rings: The Return of the King,"$1,142,271,098",0167260,2003
24,Spider-Man: Far from Home,"$1,131,927,996",6320628,2019
25,Captain Marvel,"$1,128,275,971",4154664,2019
26,Transformers: Dark of the Moon,"$1,123,794,079",1399103,2011
27,Skyfall,"$1,108,561,013",1074638,2012
28,Transformers: Age of Extinction,"$1,104,054,072",2109248,2014
29,The Dark Knight Rises,"$1,081,124,605",1345836,2012
30,Joker,"$1,074,251,311",7286456,2019
31,Star Wars: The Rise of Skywalker,"$1,074,144,248",2527338,2019
32,Toy Story 4,"$1,073,394,593",1979376,2019
33,Toy Story 3,"$1,066,969,703",0435761,2010
34,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725",0383574,2006
35,Rogue One: A Star Wars Story,"$1,056,057,273",3748528,2016
36,Aladdin,"$1,050,693,953",6139732,2019
37,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802",1298650,2011
38,The Dark Knight,"$1,038,046,191",0468569,2008
39,Despicable Me 3,"$1,034,799,409",3469046,2017
40,Jurassic Park,"$1,033,032,454",0107290,1993
41,Finding Dory,"$1,028,570,889",2277860,2016
42,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707",0120915,1999
43,Alice in Wonderland,"$1,025,467,110",1014759,2010
44,Zootopia,"$1,023,784,195",2948356,2016
45,The Hobbit: An Unexpected Journey,"$1,017,003,568",0903624,2012
46,Harry Potter and the Sorcerer's Stone,"$984,210,546",0241527,2001
47,Harry Potter and the Deathly Hallows: Part 1,"$976,941,486",0926084,2010
48,Despicable Me 2,"$970,766,005",1690953,2013
49,The Lion King,"$968,511,805",6105098,2019
50,The Jungle Book,"$966,552,003",3040964,2016
51,Finding Nemo,"$962,859,504",0266543,2003
52,Jumanji: Welcome to the Jungle,"$962,102,237",2283362,2017
53,Pirates of the Caribbean: At World's End,"$960,996,492",0449088,2007
54,The Hobbit: The Desolation of Smaug,"$958,366,855",1170358,2013
55,The Hobbit: The Battle of the Five Armies,"$956,019,788",2310332,2014
56,The Lord of the Rings: The Two Towers,"$951,227,416",0167261,2002
57,Harry Potter and the Order of the Phoenix,"$942,900,866",0373889,2007
58,Harry Potter and the Half-Blood Prince,"$934,391,404",0417741,2009
59,Shrek 2,"$928,760,770",0298148,2004
60,Bohemian Rhapsody,"$903,694,634",1727824,2018
61,Harry Potter and the Goblet of Fire,"$896,374,191",0330373,2005
62,Spider-Man 3,"$894,983,373",0413300,2007
63,The Lord of the Rings: The Fellowship of the Ring,"$887,933,911",0120737,2001
64,Ice Age: Dawn of the Dinosaurs,"$886,686,817",1080016,2009
65,Spectre,"$880,674,609",2379713,2015
66,Harry Potter and the Chamber of Secrets,"$880,295,582",0295297,2002
67,Spider-Man: Homecoming,"$880,166,924",2250912,2017
68,Ice Age: Continental Drift,"$877,244,782",1667889,2012
69,The Secret Life of Pets,"$875,457,937",2709768,2016
70,Batman v Superman: Dawn of Justice,"$873,637,528",2975590,2016
71,Wolf Warrior 2,"$870,325,439",7131870,2017
72,Star Wars: Episode III - Revenge of the Sith,"$868,390,560",0121766,2005
73,The Hunger Games: Catching Fire,"$865,011,746",1951264,2013
74,Guardians of the Galaxy Vol. 2,"$863,756,051",3896198,2017
75,Inside Out,"$857,951,174",2096673,2015
76,Venom,"$856,085,151",1270797,2018
77,Thor: Ragnarok,"$853,977,552",3501632,2017
78,Transformers: Revenge of the Fallen,"$836,303,693",1055369,2009
79,Inception,"$829,925,498",1375666,2010
80,The Twilight Saga: Breaking Dawn - Part 2,"$829,746,820",1673434,2012
81,Spider-Man,"$825,025,036",0145487,2002
82,Wonder Woman,"$821,847,012",0451279,2017
83,Independence Day,"$817,400,891",0116629,1996
84,Fantastic Beasts and Where to Find Them,"$814,038,508",3183660,2016
85,Shrek the Third,"$813,367,380",0413267,2007
86,Coco,"$807,082,196",2380307,2017
87,Mission: Impossible - Fallout,"$801,135,806",4912910,2018
88,Harry Potter and the Prisoner of Azkaban,"$796,818,217",0304141,2004
89,Jumanji: The Next Level,"$796,575,993",7975244,2019
90,Pirates of the Caribbean: Dead Men Tell No Tales,"$794,878,815",1790809,2017
91,E.T. the Extra-Terrestrial,"$793,482,178",0083866,1982
92,2012,"$791,217,826",1190080,2009
93,Indiana Jones and the Kingdom of the Crystal Skull,"$790,653,942",0367882,2008
94,Spider-Man 2,"$788,976,453",0316654,2004
95,Fast & Furious 6,"$788,679,850",1905041,2013
96,Deadpool 2,"$785,794,179",5463162,2018
97,Deadpool,"$782,612,155",1431045,2016
98,Star Wars: Episode IV - A New Hope,"$775,521,394",0076759,1977
99,Guardians of the Galaxy,"$772,787,572",2015381,2014
100,The Da Vinci Code,"$760,006,945",0382625,2006
101,Fast & Furious Presents: Hobbs & Shaw,"$759,056,935",6806448,2019
102,Maleficent,"$758,410,378",1587310,2014
103,The Amazing Spider-Man,"$757,930,663",0316654,2004
104,The Hunger Games: Mockingjay - Part 1,"$755,356,711",1951265,2014
105,Shrek Forever After,"$752,600,867",0892791,2010
106,Madagascar 3: Europe's Most Wanted,"$746,921,274",1277953,2012
107,Suicide Squad,"$746,846,894",1386697,2016
108,X-Men: Days of Future Past,"$746,045,700",1877832,2014
109,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115",0363771,2005
110,Monsters University,"$743,559,607",1453405,2013
111,The Matrix Reloaded,"$741,847,697",0234215,2003
112,Up,"$735,099,082",1049413,2009
113,Ne Zha,"$726,063,471",10627720,2019
114,The Twilight Saga: New Moon,"$724,256,885",1259571,2009
115,Gravity,"$723,192,705",1454468,2013
116,Captain America: The Winter Soldier,"$714,421,503",1843866,2014
117,The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856",1324999,2011
118,Dawn of the Planet of the Apes,"$710,644,566",2103281,2014
119,Transformers,"$709,709,780",0418279,2007
120,The Amazing Spider-Man 2,"$708,982,323",1872181,2014
121,It,"$701,796,444",1396484,2017
122,The Wandering Earth,"$699,856,699",7605074,2019
123,Interstellar,"$699,618,129",0816692,2014
124,The Twilight Saga: Eclipse,"$698,491,347",1325004,2010
125,Mission: Impossible - Ghost Protocol,"$694,713,380",1229238,2011
126,The Hunger Games,"$694,394,724",1392170,2012
127,Moana,"$690,860,472",3521164,2016
128,Forrest Gump,"$683,095,371",0109830,1994
129,Mission: Impossible - Rogue Nation,"$682,716,636",2381249,2015
130,Doctor Strange,"$677,718,395",1211837,2016
131,The Sixth Sense,"$672,806,292",0167404,1999
132,Man of Steel,"$668,045,518",0770828,2013
133,Ice Age: The Meltdown,"$667,094,506",0438097,2006
134,Kung Fu Panda 2,"$665,692,281",1302011,2011
135,The Hunger Games: Mockingjay - Part 2,"$658,344,137",1951266,2015
136,Justice League,"$657,924,295",0974015,2017
137,Big Hero 6,"$657,857,416",2245084,2014
138,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901",4123430,2018
139,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015",0325980,2003
140,Star Wars: Episode II - Attack of the Clones,"$653,779,970",0121765,2002
141,Thor: The Dark World,"$644,783,140",1981115,2013
142,Sing,"$634,154,734",3470600,2016
143,"Monsters, Inc.","$632,316,649",0198781,2001
144,Kung Fu Panda,"$631,746,197",0441773,2008
145,The Incredibles,"$631,606,713",0317705,2004
146,The Martian,"$630,161,890",3659388,2015
147,Hancock,"$629,443,428",0448157,2008
148,Fast Five,"$626,137,675",1596343,2011
149,Men in Black 3,"$624,026,776",1409024,2012
150,Iron Man 2,"$623,933,331",1228705,2010
151,Ratatouille,"$623,726,085",0382932,2007
152,Ant-Man and the Wasp,"$622,674,139",5095030,2018
153,How to Train Your Dragon 2,"$621,537,519",1646971,2014
154,Logan,"$619,021,436",3315342,2017
155,The Lost World: Jurassic Park,"$618,638,999",0119567,1997
156,Casino Royale,"$616,501,619",0381061,2006
