,title,gross_worldwide,movie_id,year,plot
0,Avengers: Endgame,"$2,797,800,564",4154796,2019,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
1,Avatar,"$2,790,439,000",0499549,2009,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
2,Titanic,"$2,195,169,696",0120338,1997,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.::j-jessie-weaver"
3,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624",2488496,2015,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
4,Avengers: Infinity War,"$2,048,359,754",4154756,2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.::ahmetkozan
5,The Lion King,"$1,752,378,802",6105098,2019,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.::mjamberdino"
6,Jurassic World,"$1,670,400,637",0369610,2015,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.::jgp3553@yahoo.com"
7,The Avengers,"$1,518,812,988",0848228,2012,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.::Tim Wakeman
8,Furious 7,"$1,515,048,151",2820852,2015,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.::ankurgow3
9,Frozen II,"$1,450,026,933",4520988,2019,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom.::Seha"
10,Avengers: Age of Ultron,"$1,402,808,753",2395427,2015,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.::Anonymous"
11,Harry Potter and the Deathly Hallows: Part 2,"$1,386,206,970",1201607,2011,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
12,Black Panther,"$1,348,744,095",1825683,2018,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.::Kenneth Chisholm"
13,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889",2527336,2017,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order."
14,Jurassic World: Fallen Kingdom,"$1,308,467,944",4881806,2018,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.::ahmetkozan"
15,Frozen,"$1,280,803,353",2294629,2013,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.::Anonymous"
16,Beauty and the Beast,"$1,263,541,116",2771200,2017,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
17,The Incredibles 2,"$1,242,805,359",3606756,2018,"The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world."
18,The Fate of the Furious,"$1,236,005,118",4630562,2017,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.::ahmetkozan"
19,Iron Man 3,"$1,214,811,252",1300854,2013,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.::Anonymous"
20,Minions,"$1,159,428,508",2293640,2015,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.::Miss W J Mcdermott"
21,Captain America: Civil War,"$1,153,312,277",3498820,2016,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
22,Aquaman,"$1,148,485,886",1477834,2018,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land."
23,The Lord of the Rings: The Return of the King,"$1,142,271,098",0167260,2003,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.::ahmetkozan
24,Spider-Man: Far from Home,"$1,131,927,996",6320628,2019,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.::Sony Pictures"
25,Captain Marvel,"$1,128,275,971",4154664,2019,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.
26,Transformers: Dark of the Moon,"$1,123,794,079",1399103,2011,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.::Q. Leo Rahman"
27,Skyfall,"$1,108,561,013",1074638,2012,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
28,Transformers: Age of Extinction,"$1,104,054,072",2109248,2014,"When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.::Anonymous"
29,The Dark Knight Rises,"$1,081,124,605",1345836,2012,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.::Paulrichard"
30,Joker,"$1,074,251,311",7286456,2019,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.::Don Draper 101"
31,Star Wars: The Rise of Skywalker,"$1,074,144,248",2527338,2019,"The surviving members of the resistance face the First Order once again, and the legendary conflict between the Jedi and the Sith reaches its peak bringing the Skywalker saga to its end.::Santhosh"
32,Toy Story 4,"$1,073,394,593",1979376,2019,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
33,Toy Story 3,"$1,066,969,703",0435761,2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.::jgp3553@yahoo.com"
34,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725",0383574,2006,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.::Helltopay27"
35,Rogue One: A Star Wars Story,"$1,056,057,273",3748528,2016,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.::zachf-gould & Travis Brainerd
36,Aladdin,"$1,050,693,953",6139732,2019,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.::Noah Orent
37,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802",1298650,2011,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.::Anonymous"
38,The Dark Knight,"$1,038,046,191",0468569,2008,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.::ahmetkozan"
39,Despicable Me 3,"$1,034,799,409",3469046,2017,"Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist."
40,Jurassic Park,"$1,033,032,454",0107290,1993,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.::steven-espinoza21
41,Finding Dory,"$1,028,570,889",2277860,2016,"Friendly but forgetful blue tang Dory begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way.::Pixar"
42,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707",0120915,1999,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.::Trance"
43,Alice in Wonderland,"$1,025,467,110",1014759,2010,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.::Anonymous"
44,Zootopia,"$1,023,784,195",2948356,2016,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.::Kenneth Chisholm"
45,The Hobbit: An Unexpected Journey,"$1,017,003,568",0903624,2012,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.::Trance/ Bioshake and Brian McInnis"
46,Harry Potter and the Sorcerer's Stone,"$984,210,546",0241527,2001,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.::Dynasti Noble"
47,Harry Potter and the Deathly Hallows: Part 1,"$976,941,486",0926084,2010,"As Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.::Debjit Biswas"
48,Despicable Me 2,"$970,766,005",1690953,2013,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.::Anonymous"
49,The Lion King,"$968,511,805",6105098,2019,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.::mjamberdino"
50,The Jungle Book,"$966,552,003",3040964,2016,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.::ralo229"
51,Finding Nemo,"$962,859,504",0266543,2003,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.::Chris White"
52,Jumanji: Welcome to the Jungle,"$962,102,237",2283362,2017,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.::ahmetkozan"
53,Pirates of the Caribbean: At World's End,"$960,996,492",0449088,2007,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.::unknown"
54,The Hobbit: The Desolation of Smaug,"$958,366,855",1170358,2013,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.::AnonymouSummary"
55,The Hobbit: The Battle of the Five Armies,"$956,019,788",2310332,2014,Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.::J.R. Meehl
56,The Lord of the Rings: The Two Towers,"$951,227,416",0167261,2002,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.::Trance"
57,Harry Potter and the Order of the Phoenix,"$942,900,866",0373889,2007,"With their warning about Lord Voldemort's (Ralph Fiennes') return scoffed at, Harry (Daniel Radcliffe) and Dumbledore (Sir Michael Gambon) are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.::Kenneth Chisholm"
