,title,gross_worldwide
0,Avengers: Endgame,"$2,797,800,564"
1,Avatar,"$2,790,439,000"
2,Titanic,"$2,195,169,696"
3,Star Wars: Episode VII - The Force Awakens,"$2,068,223,624"
4,Avengers: Infinity War,"$2,048,359,754"
5,The Lion King,"$1,752,378,802"
6,Jurassic World,"$1,670,400,637"
7,The Avengers,"$1,518,812,988"
8,Furious 7,"$1,515,048,151"
9,Frozen II,"$1,450,026,933"
10,Avengers: Age of Ultron,"$1,402,808,753"
11,Harry Potter and the Deathly Hallows: Part 2,"$1,386,206,970"
12,Black Panther,"$1,348,744,095"
13,Star Wars: Episode VIII - The Last Jedi,"$1,332,539,889"
14,Jurassic World: Fallen Kingdom,"$1,308,467,944"
15,Frozen,"$1,280,803,353"
16,Beauty and the Beast,"$1,263,541,116"
17,The Incredibles 2,"$1,242,805,359"
18,The Fate of the Furious,"$1,236,005,118"
19,Iron Man 3,"$1,214,811,252"
20,Minions,"$1,159,428,508"
21,Captain America: Civil War,"$1,153,312,277"
22,Aquaman,"$1,148,485,886"
23,The Lord of the Rings: The Return of the King,"$1,142,271,098"
24,Spider-Man: Far from Home,"$1,131,927,996"
25,Captain Marvel,"$1,128,275,971"
26,Transformers: Dark of the Moon,"$1,123,794,079"
27,Skyfall,"$1,108,561,013"
28,Transformers: Age of Extinction,"$1,104,054,072"
29,The Dark Knight Rises,"$1,081,124,605"
30,Joker,"$1,074,251,311"
31,Star Wars: The Rise of Skywalker,"$1,074,144,248"
32,Toy Story 4,"$1,073,394,593"
33,Toy Story 3,"$1,066,969,703"
34,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725"
35,Rogue One: A Star Wars Story,"$1,056,057,273"
36,Aladdin,"$1,050,693,953"
37,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802"
38,The Dark Knight,"$1,038,046,191"
39,Despicable Me 3,"$1,034,799,409"
40,Jurassic Park,"$1,033,032,454"
41,Finding Dory,"$1,028,570,889"
42,Star Wars: Episode I - The Phantom Menace,"$1,027,082,707"
43,Alice in Wonderland,"$1,025,467,110"
44,Zootopia,"$1,023,784,195"
45,The Hobbit: An Unexpected Journey,"$1,017,003,568"
46,Harry Potter and the Sorcerer's Stone,"$984,210,546"
47,Harry Potter and the Deathly Hallows: Part 1,"$976,941,486"
48,Despicable Me 2,"$970,766,005"
49,The Lion King,"$968,511,805"
50,The Jungle Book,"$966,552,003"
51,Finding Nemo,"$962,859,504"
52,Jumanji: Welcome to the Jungle,"$962,102,237"
53,Pirates of the Caribbean: At World's End,"$960,996,492"
54,The Hobbit: The Desolation of Smaug,"$958,366,855"
55,The Hobbit: The Battle of the Five Armies,"$956,019,788"
56,The Lord of the Rings: The Two Towers,"$951,227,416"
57,Harry Potter and the Order of the Phoenix,"$942,900,866"
58,Harry Potter and the Half-Blood Prince,"$934,391,404"
59,Shrek 2,"$928,760,770"
60,Bohemian Rhapsody,"$903,694,634"
61,Harry Potter and the Goblet of Fire,"$896,374,191"
62,Spider-Man 3,"$894,983,373"
63,The Lord of the Rings: The Fellowship of the Ring,"$887,933,911"
64,Ice Age: Dawn of the Dinosaurs,"$886,686,817"
65,Spectre,"$880,674,609"
66,Harry Potter and the Chamber of Secrets,"$880,295,582"
67,Spider-Man: Homecoming,"$880,166,924"
68,Ice Age: Continental Drift,"$877,244,782"
69,The Secret Life of Pets,"$875,457,937"
